Age,MonthlyIncome,CreditScore,ExistingLoan,LoanAmount,LoanTerm,Dependents,EmploymentStatus,EmploymentYears,PaymentHistory,Eligible
55,61002,733,260705,401169,60,2,Salaried,17,Good,1
56,64812,763,455209,539788,60,1,Business,3,Average,1
38,123946,833,12938,145149,24,1,Salaried,0,Good,1
59,81668,365,130842,668308,60,2,Salaried,17,Good,1
52,114003,320,469911,576961,36,0,Salaried,19,Good,1
44,57998,683,264418,913945,48,3,Self-Employed,5,Poor,1
43,119601,338,346534,73466,60,4,Self-Employed,19,Poor,1
52,22812,584,425031,287626,24,1,Salaried,19,Average,0
57,76844,635,469234,928977,48,2,Business,13,Good,1
32,148251,487,150033,559966,60,0,Salaried,9,Good,1
33,89601,542,20044,624694,12,1,Business,17,Average,1
43,62857,372,99372,446904,60,0,Salaried,8,Good,1
45,140555,778,415191,643572,36,1,Business,11,Average,1
55,35700,400,276850,810006,48,2,Self-Employed,9,Good,0
50,108330,813,137046,951011,36,0,Self-Employed,20,Good,1
37,78353,475,338608,587953,12,2,Salaried,18,Good,1
40,115772,537,21213,594929,12,0,Self-Employed,5,Poor,1
45,106502,358,1950,475716,36,1,Salaried,13,Good,1
42,128943,398,254043,610085,48,4,Business,7,Average,0
33,124850,794,216085,790126,12,4,Salaried,13,Average,1
39,60095,813,272555,358094,12,3,Salaried,10,Poor,1
56,30523,596,390747,992550,60,3,Self-Employed,15,Good,0
32,77433,510,480447,965986,24,2,Business,19,Good,1
39,34991,422,439372,676627,12,0,Salaried,5,Poor,0
32,25775,528,324888,687719,48,3,Unemployed,14,Good,0
29,99995,687,148843,282275,48,1,Unemployed,14,Good,1
27,137808,439,463026,452854,60,4,Self-Employed,13,Good,1
48,22415,840,297197,857605,48,0,Salaried,20,Good,0
34,52044,690,248966,718582,60,4,Business,11,Good,1
51,64976,569,445292,231136,12,0,Salaried,1,Average,0
39,18832,311,138117,218082,12,3,Salaried,7,Average,0
36,49148,688,319767,303301,12,3,Unemployed,18,Good,1
25,127230,636,29714,592383,12,2,Unemployed,13,Average,1
55,100076,805,165458,173554,24,0,Unemployed,4,Good,1
32,53402,405,371427,444655,24,1,Salaried,8,Good,0
45,53578,331,270706,962046,12,3,Salaried,12,Poor,1
41,105453,373,317192,809277,48,2,Salaried,8,Good,1
56,90715,470,355439,528766,60,3,Salaried,13,Average,0
43,126435,368,12026,972879,36,4,Salaried,4,Good,1
36,110742,661,106147,663311,60,3,Salaried,1,Average,1
59,60475,732,31589,681469,36,0,Self-Employed,6,Good,1
59,75142,399,108199,272310,36,2,Business,15,Good,1
34,108526,308,359418,857032,12,0,Business,10,Good,1
51,66001,328,288988,838898,36,1,Business,10,Good,1
25,72649,413,416663,830637,12,1,Salaried,11,Good,1
55,40711,761,352559,549344,24,3,Salaried,12,Average,1
43,45106,442,208574,750457,48,2,Business,7,Good,1
49,80458,689,214340,946366,36,2,Self-Employed,15,Average,1
31,145429,456,54708,627564,48,2,Self-Employed,20,Good,1
38,116754,634,457141,493333,12,2,Salaried,0,Good,0
32,141479,559,70825,490187,36,3,Salaried,12,Poor,1
29,43884,381,51574,319072,60,0,Self-Employed,10,Poor,1
30,17708,740,347692,891741,24,3,Business,3,Good,0
37,33375,471,412028,255719,24,0,Unemployed,3,Poor,0
58,30088,530,232409,746248,36,4,Self-Employed,14,Good,1
27,72615,374,186381,800385,24,4,Self-Employed,2,Good,1
33,125138,569,64230,749192,60,0,Business,18,Good,1
60,25014,361,434844,166196,48,3,Self-Employed,20,Poor,0
29,149345,619,254451,59404,60,1,Self-Employed,1,Poor,0
47,117842,401,302725,476855,24,3,Unemployed,5,Good,1
22,93077,728,247174,783478,48,1,Business,7,Average,1
25,67874,554,439844,503814,60,3,Unemployed,16,Average,1
49,84087,831,219700,687475,12,2,Salaried,4,Good,1
57,27297,411,287249,946881,12,2,Self-Employed,1,Average,0
58,42128,612,341974,601972,48,4,Business,11,Good,1
39,83368,760,331301,642879,48,4,Salaried,4,Good,1
28,93958,761,425658,431965,48,0,Business,9,Average,1
21,47920,391,349379,783082,12,1,Salaried,8,Good,1
42,148872,351,246514,314826,60,2,Business,19,Good,1
37,148682,819,264491,161186,48,3,Self-Employed,7,Good,1
27,92603,397,226094,817469,12,0,Salaried,0,Average,0
45,48872,535,309794,596120,48,3,Salaried,5,Good,0
24,25728,673,148182,591285,48,2,Self-Employed,10,Good,1
56,110102,533,193242,346784,48,2,Self-Employed,2,Average,1
26,137049,331,398139,520098,12,2,Salaried,14,Good,0
51,35583,588,182873,90491,60,2,Business,10,Poor,1
39,100774,841,455987,113043,12,3,Self-Employed,4,Good,1
59,141374,413,124926,948607,12,0,Self-Employed,15,Good,1
47,106118,503,81147,178568,48,2,Salaried,20,Good,1
30,80942,328,310279,426394,36,4,Unemployed,6,Good,1
46,28689,773,19199,647013,36,0,Salaried,5,Poor,0
39,48276,552,402282,178131,36,4,Self-Employed,8,Good,0
59,116968,685,363727,95520,12,3,Business,6,Average,1
23,28050,361,183208,375063,48,2,Salaried,2,Good,1
33,81216,814,354434,684157,36,0,Self-Employed,10,Average,1
48,99040,729,429791,638730,24,2,Salaried,11,Poor,1
40,36644,836,220868,835313,24,2,Business,20,Good,1
48,77021,440,120787,202842,24,0,Self-Employed,10,Good,1
28,57291,599,439949,417390,60,2,Business,1,Poor,0
59,147610,610,114427,752858,48,2,Business,0,Average,0
21,56520,770,148063,421831,12,1,Self-Employed,1,Good,1
23,40675,692,153625,572485,12,1,Business,13,Good,1
33,15174,744,220782,697735,48,0,Self-Employed,12,Good,1
48,107268,471,87493,635765,60,0,Salaried,4,Poor,0
45,49998,330,393850,574532,48,2,Self-Employed,1,Average,0
53,120410,346,488633,915885,60,4,Unemployed,18,Poor,0
58,90225,429,274915,500953,36,0,Salaried,16,Good,1
26,59814,651,125607,227561,36,2,Salaried,10,Good,1
52,100091,357,246834,964394,60,4,Salaried,15,Good,1
41,65719,405,411514,907735,48,1,Salaried,19,Good,0
36,144887,629,79876,340534,36,0,Salaried,17,Good,1
41,48919,682,492108,584535,48,2,Salaried,19,Good,1
31,88155,461,167071,250123,36,1,Salaried,7,Average,1
57,86569,585,202959,765079,48,3,Self-Employed,1,Good,1
56,56328,370,321792,477894,48,1,Salaried,16,Good,1
55,39618,753,455884,531018,24,2,Self-Employed,10,Poor,1
39,49675,696,462590,257358,60,4,Business,13,Poor,1
40,33919,814,460725,866015,12,3,Unemployed,15,Good,1
38,19173,325,243722,566456,60,3,Self-Employed,14,Poor,0
34,124369,612,496564,189148,48,3,Salaried,14,Good,0
35,41400,425,337927,985510,48,0,Unemployed,2,Good,0
51,85305,707,44440,196123,60,2,Business,6,Poor,1
21,103791,497,31655,447530,48,3,Salaried,11,Average,1
23,85533,487,43039,602958,36,1,Salaried,2,Poor,1
36,118591,783,317399,543973,48,4,Salaried,18,Average,1
43,146060,749,72219,961352,60,2,Salaried,9,Good,1
31,54194,822,186061,60236,60,1,Salaried,7,Good,1
32,124903,653,273388,85568,60,0,Unemployed,15,Good,1
30,146461,399,94594,681615,24,3,Self-Employed,15,Good,1
52,114303,577,320739,305745,24,1,Self-Employed,11,Good,1
36,128903,790,170623,422332,24,2,Business,4,Good,1
28,82391,554,194302,535119,24,1,Business,19,Poor,0
58,73002,680,366042,328496,24,0,Business,5,Poor,1
32,50531,841,290515,700009,24,4,Unemployed,5,Average,1
44,19986,563,462574,309291,24,3,Salaried,7,Good,0
48,47298,628,159950,488866,60,2,Unemployed,16,Average,0
28,16481,414,167229,453562,12,3,Business,11,Average,0
48,71408,575,5914,730516,24,3,Salaried,13,Poor,1
56,136950,787,214772,105904,60,3,Self-Employed,1,Good,1
46,140355,580,289324,981539,12,1,Self-Employed,18,Good,0
28,42798,574,396904,958573,24,1,Unemployed,5,Poor,0
48,106649,627,342363,328252,12,4,Salaried,17,Poor,0
48,79887,510,340760,572247,12,0,Self-Employed,3,Good,1
57,34477,325,227561,839285,36,2,Salaried,4,Good,1
56,142815,326,403132,396300,48,1,Salaried,5,Average,1
47,142426,382,187435,316320,36,3,Salaried,14,Good,1
37,39335,712,95213,674747,12,0,Self-Employed,5,Average,1
29,101610,466,420576,469136,60,2,Business,7,Good,1
53,26442,468,37805,235922,24,2,Salaried,8,Good,1
40,61289,528,406669,187901,48,2,Self-Employed,20,Good,1
33,68747,666,126599,173225,24,2,Salaried,5,Good,1
48,52327,827,153775,543406,60,4,Salaried,1,Good,1
49,87827,837,190093,810135,48,2,Self-Employed,15,Good,1
33,121464,823,74176,271738,36,0,Salaried,19,Good,1
55,146184,371,94799,954890,12,1,Self-Employed,0,Good,1
26,102051,405,98385,685181,60,0,Salaried,15,Good,1
38,74722,581,235654,910359,12,3,Salaried,0,Good,1
25,107036,432,474830,528076,12,4,Self-Employed,0,Poor,0
45,81960,833,88919,954610,24,4,Self-Employed,6,Good,1
22,34552,568,474288,292726,60,3,Salaried,15,Good,1
30,15887,711,400626,352811,12,0,Self-Employed,16,Good,1
50,46802,317,81462,771202,36,0,Business,15,Poor,1
25,100024,416,179340,479059,48,3,Business,15,Good,1
53,133639,443,165320,756168,60,2,Salaried,5,Good,1
21,133248,850,31159,473759,24,2,Self-Employed,17,Good,1
38,96938,721,42039,515996,60,1,Self-Employed,2,Average,1
52,137746,668,232974,56611,24,0,Salaried,7,Average,1
31,41049,349,47800,400386,48,0,Business,3,Good,1
41,92789,405,302905,921044,36,3,Unemployed,3,Good,1
46,99526,515,94626,883334,12,3,Business,16,Good,1
45,61220,724,479319,821812,60,2,Business,4,Good,1
42,61163,371,118368,345187,24,0,Business,13,Average,1
47,149837,745,174735,186343,48,0,Self-Employed,14,Good,1
33,132126,485,80903,909299,12,4,Self-Employed,11,Good,1
53,96486,369,433628,389233,48,1,Business,12,Good,0
54,90277,449,118998,895177,36,1,Self-Employed,17,Average,1
55,119245,545,241324,540092,12,2,Salaried,13,Average,1
21,137332,837,428583,240191,12,0,Salaried,18,Poor,1
41,37931,398,399029,716933,12,4,Business,6,Good,1
26,104116,577,322038,726769,24,0,Salaried,5,Good,1
48,70633,754,233229,922402,12,3,Self-Employed,4,Good,1
37,66913,403,313588,336608,48,2,Unemployed,3,Good,1
25,109776,532,427485,299220,24,1,Business,17,Good,1
51,40991,693,61748,486056,12,0,Unemployed,13,Good,1
25,119092,800,41190,692811,48,2,Self-Employed,15,Good,1
58,110556,550,40318,594950,48,1,Salaried,19,Poor,1
23,77875,820,168090,854660,60,0,Business,13,Average,1
43,77120,378,124078,635009,48,4,Salaried,4,Good,1
57,148060,351,39759,712746,36,2,Salaried,10,Good,1
57,125041,525,278642,843294,12,0,Salaried,11,Good,1
30,143467,350,25989,614396,12,1,Salaried,17,Good,1
30,133490,485,495926,141788,12,1,Salaried,3,Good,1
39,141155,333,156640,518239,48,4,Salaried,12,Good,1
37,43230,430,379179,294437,48,2,Self-Employed,19,Poor,0
41,74778,742,328721,811299,12,2,Business,12,Good,1
34,60833,731,367375,916572,24,0,Salaried,3,Good,1
29,37625,796,161171,732561,24,1,Salaried,6,Average,1
21,47088,702,352044,905010,36,1,Self-Employed,1,Good,1
33,118937,622,433855,99966,60,4,Self-Employed,20,Good,1
24,91361,509,366823,235846,36,4,Unemployed,17,Good,1
21,103229,628,285626,322530,12,2,Salaried,20,Average,1
60,105265,671,331356,651516,12,1,Business,5,Good,1
52,112718,759,448477,196297,12,0,Self-Employed,15,Good,1
54,75710,432,480533,459909,60,3,Self-Employed,2,Poor,0
48,109876,420,292192,384341,48,0,Salaried,14,Good,1
51,45949,751,396281,93021,60,4,Salaried,20,Average,1
28,83136,428,395252,431059,36,0,Salaried,19,Poor,0
59,126541,390,35814,199333,48,1,Salaried,9,Good,1
46,76842,328,190766,470594,48,2,Self-Employed,8,Average,1
54,41990,823,410140,953606,36,3,Business,10,Average,1
23,45109,632,391637,826934,48,2,Business,13,Poor,1
32,145356,596,60204,136755,24,3,Self-Employed,11,Good,1
21,143133,429,32844,979441,36,3,Self-Employed,6,Poor,1
25,16306,592,248827,116330,36,1,Salaried,10,Good,1
50,18849,472,245256,752726,24,1,Unemployed,16,Average,0
50,27360,323,344087,908754,60,4,Self-Employed,8,Good,0
37,126072,398,21518,938750,60,4,Salaried,12,Good,1
43,109767,705,410275,619601,60,3,Salaried,15,Good,1
35,69330,655,23052,284729,48,4,Self-Employed,2,Good,1
57,66707,438,256346,807071,24,1,Self-Employed,4,Good,1
41,33689,802,69803,339176,36,4,Salaried,16,Good,1
34,44084,473,71524,535179,36,3,Business,0,Good,1
22,55387,328,224582,198430,36,2,Business,20,Good,1
31,89816,795,351716,898142,48,0,Self-Employed,8,Good,1
59,17642,650,401896,407470,48,4,Salaried,16,Good,0
58,57137,598,67021,398301,60,1,Salaried,12,Poor,1
54,77260,491,211321,492037,48,2,Unemployed,14,Average,0
58,63442,363,282187,78365,60,1,Business,20,Good,1
54,118061,514,2419,325333,60,4,Salaried,7,Good,1
38,149066,465,187964,519965,36,3,Salaried,7,Average,1
50,140844,842,121831,581536,48,0,Salaried,1,Good,1
35,114575,531,244688,54369,60,0,Salaried,9,Good,1
47,16813,840,101799,506979,24,2,Self-Employed,4,Good,1
54,108027,494,410356,975554,24,0,Unemployed,15,Poor,0
58,138489,805,436700,865037,48,3,Salaried,18,Good,1
53,99381,633,194941,886048,36,1,Salaried,0,Average,1
44,70276,603,176282,497695,36,3,Business,12,Good,1
35,56243,736,319744,415863,60,2,Salaried,3,Average,1
50,75272,622,378611,221955,48,2,Unemployed,6,Good,1
37,80618,801,340641,607343,24,0,Self-Employed,0,Good,1
25,16920,692,108611,774091,60,3,Unemployed,1,Good,0
49,121121,448,137559,428824,60,1,Salaried,15,Poor,0
24,91872,704,322836,319594,12,3,Salaried,13,Good,1
30,96132,582,62112,183997,48,1,Salaried,4,Good,1
37,17093,661,424326,523267,60,1,Salaried,13,Average,0
30,27905,678,239040,100272,24,3,Salaried,16,Good,1
37,136759,497,278504,55310,12,4,Unemployed,11,Good,1
40,45981,655,442626,81817,24,3,Business,19,Good,1
44,88903,839,233451,558350,36,1,Self-Employed,11,Good,1
25,85821,728,221490,536160,12,2,Salaried,2,Good,1
54,124200,316,345182,487744,12,2,Business,20,Average,0
26,97289,678,466383,790176,60,0,Business,20,Good,1
22,131506,805,265161,132641,36,2,Salaried,1,Poor,1
33,93513,375,348405,789443,60,4,Unemployed,20,Good,1
31,65516,530,191196,781670,48,1,Salaried,20,Good,1
43,84212,547,247418,589745,24,3,Salaried,14,Good,1
36,148498,601,221370,92311,24,3,Salaried,10,Average,0
51,145970,514,444165,971484,60,4,Business,9,Good,1
31,105009,457,189340,201958,24,2,Self-Employed,17,Average,0
36,59816,368,66320,520328,24,1,Salaried,20,Average,1
28,19138,692,486772,494093,48,2,Salaried,1,Good,0
24,106176,384,235067,697861,36,0,Salaried,6,Good,1
60,90945,566,212373,409571,12,2,Salaried,6,Good,1
24,19017,368,293271,872613,60,0,Salaried,6,Average,0
45,25451,646,396412,214334,60,3,Salaried,13,Good,0
23,108863,722,337232,968451,48,1,Salaried,1,Average,1
52,25278,473,434516,443238,48,0,Business,1,Good,0
23,58764,414,180786,837560,12,2,Self-Employed,14,Average,0
47,138030,519,294065,653810,36,2,Business,10,Good,1
49,147206,330,266890,213394,60,3,Salaried,9,Good,1
52,77943,822,330679,98929,48,4,Salaried,2,Poor,1
39,110667,642,65350,655984,60,4,Salaried,16,Average,0
41,69318,676,181417,427389,24,2,Salaried,8,Good,1
25,118423,429,240678,846240,60,4,Salaried,14,Average,1
38,118998,838,442436,669436,36,1,Business,13,Average,1
48,75128,301,343275,496098,36,4,Unemployed,18,Good,1
42,36869,400,22063,858157,60,1,Salaried,16,Good,1
41,20039,832,117116,384678,24,2,Salaried,19,Good,1
26,127935,357,464952,352094,36,2,Unemployed,16,Poor,0
21,25442,688,496916,794314,48,2,Salaried,15,Good,1
25,88788,640,351057,133576,60,3,Self-Employed,19,Good,1
32,134729,319,341090,70557,24,4,Unemployed,7,Good,0
46,42586,554,177043,596113,48,0,Unemployed,6,Good,1
54,68053,616,134670,321142,60,0,Salaried,11,Good,1
34,101346,337,10564,86080,24,2,Salaried,0,Good,1
46,82087,836,242124,833103,48,4,Salaried,11,Good,1
47,49397,685,227506,238869,36,1,Business,5,Poor,1
29,73671,325,311869,721162,60,0,Unemployed,15,Poor,0
46,131214,753,86134,978671,60,2,Self-Employed,17,Good,1
42,81897,622,105940,543844,36,0,Business,18,Good,1
50,29924,812,453156,616695,12,0,Business,2,Average,0
37,128143,312,62085,170283,48,0,Self-Employed,2,Good,1
46,125253,670,17862,63338,36,2,Business,4,Average,1
56,115297,590,272409,650577,60,2,Self-Employed,2,Poor,1
21,15869,631,140777,514736,48,3,Self-Employed,18,Average,0
28,112088,560,186351,724255,48,3,Salaried,4,Good,1
55,16014,504,62471,228982,12,3,Business,13,Poor,0
35,25103,686,91080,967461,60,0,Salaried,20,Poor,1
42,125317,767,473050,159367,24,4,Salaried,15,Average,1
34,97409,714,456195,378042,12,2,Business,0,Good,1
46,38248,368,317972,970958,12,3,Self-Employed,16,Average,0
48,23024,771,491422,691774,24,4,Unemployed,10,Good,0
43,100947,403,379028,398684,24,3,Salaried,8,Good,1
34,106829,460,108007,544775,12,3,Self-Employed,20,Good,1
44,107708,499,46104,788497,48,4,Salaried,3,Poor,1
22,101664,515,40934,493853,36,3,Unemployed,1,Average,0
46,100178,511,254606,830343,36,0,Salaried,8,Average,0
34,116121,807,376564,710709,12,0,Self-Employed,4,Good,1
27,35025,315,6050,961848,48,0,Business,3,Good,0
23,78610,797,175024,876395,24,1,Salaried,4,Poor,1
43,85843,631,479786,450966,12,3,Unemployed,17,Good,1
38,122237,850,270628,407073,60,1,Business,12,Average,1
58,145299,555,324792,727823,48,2,Salaried,4,Good,1
55,20668,471,322089,649223,60,4,Salaried,18,Average,0
35,88233,797,184750,764152,60,2,Salaried,2,Poor,1
45,96982,770,31323,850118,12,1,Salaried,17,Good,1
57,121133,683,86332,549555,48,0,Business,5,Good,1
48,25751,806,356749,113528,60,3,Unemployed,5,Good,1
30,61218,826,480579,674099,48,3,Salaried,4,Poor,1
59,141649,624,255540,558907,36,0,Salaried,0,Average,0
37,22352,513,254547,334931,60,3,Self-Employed,7,Average,0
59,103835,507,428577,982280,60,4,Salaried,0,Good,0
42,112493,468,272459,427757,48,4,Salaried,20,Average,0
46,43927,629,310112,762787,36,4,Salaried,5,Average,0
45,116948,579,157591,834429,60,2,Self-Employed,19,Good,1
37,44493,604,271251,154887,12,0,Self-Employed,13,Poor,0
33,46707,445,55781,111086,48,4,Business,10,Good,1
40,50842,815,266013,938663,48,1,Salaried,1,Good,1
45,28261,389,343127,305494,60,4,Business,20,Good,1
24,91709,752,420586,558889,36,2,Self-Employed,3,Good,1
30,110985,359,455911,637596,60,1,Business,12,Average,1
23,121616,610,453638,327941,24,0,Salaried,6,Good,0
38,82173,827,7971,317446,60,0,Business,5,Average,1
56,46781,526,358949,506388,24,4,Business,2,Good,1
42,28652,773,254927,612347,12,1,Salaried,8,Good,1
54,20103,840,287795,181980,48,1,Salaried,13,Average,1
28,40500,378,319118,765612,48,4,Unemployed,19,Average,0
60,115336,732,494509,523875,36,4,Business,10,Good,1
39,128499,452,23446,193949,60,3,Unemployed,4,Poor,1
57,64393,700,257419,326383,12,3,Business,13,Average,1
26,62406,578,169180,77313,24,4,Self-Employed,18,Good,1
46,78059,356,468395,92103,36,2,Salaried,7,Good,1
54,97722,485,3823,229480,12,3,Salaried,6,Good,1
26,27356,697,144526,526467,12,4,Unemployed,6,Average,1
57,143128,457,135004,138771,24,1,Salaried,2,Good,1
53,17187,658,403436,176228,24,3,Salaried,2,Good,1
42,92243,739,205162,141665,48,2,Business,17,Good,1
41,50098,765,67965,846966,60,0,Business,12,Good,1
26,149678,745,421424,879492,36,1,Salaried,0,Average,1
26,72620,787,466196,853621,60,2,Salaried,4,Average,1
24,141270,829,272654,964863,36,2,Salaried,3,Good,1
50,29387,372,437261,660355,12,2,Salaried,15,Good,0
31,84463,316,141609,847399,24,1,Business,14,Good,1
50,148663,830,465899,787351,24,2,Salaried,17,Average,1
51,106683,625,105935,901995,12,0,Business,16,Average,1
44,77061,845,331278,320804,12,3,Business,13,Good,1
29,96257,501,233705,430815,36,1,Self-Employed,13,Good,1
23,76753,643,334398,534091,12,2,Salaried,18,Good,1
51,99774,822,253978,179909,36,4,Self-Employed,5,Poor,1
60,38408,699,144854,483039,60,3,Salaried,12,Good,1
57,139116,517,376924,499058,24,1,Salaried,17,Good,0
56,146208,744,387688,190688,24,4,Business,14,Good,1
44,32413,521,327731,125976,24,4,Salaried,6,Good,1
51,128650,682,344382,807496,60,2,Business,18,Average,1
26,74500,306,337864,229810,60,1,Salaried,16,Good,0
22,99514,571,78004,325251,48,2,Salaried,8,Good,1
40,71358,315,22072,766764,36,0,Unemployed,10,Average,0
48,81197,723,81015,668470,36,4,Self-Employed,4,Good,1
31,91240,823,225075,817441,48,0,Self-Employed,1,Good,1
24,31322,320,220010,928219,24,2,Self-Employed,14,Good,0
35,128053,527,72746,852386,36,3,Salaried,11,Average,1
26,21968,587,176774,329087,36,4,Business,9,Good,0
50,42518,433,364404,90725,24,3,Salaried,9,Poor,0
58,66925,582,399273,881866,12,1,Self-Employed,19,Good,1
22,126900,703,128259,922183,12,4,Self-Employed,10,Good,1
35,108422,365,30916,584398,48,0,Unemployed,9,Average,1
31,16700,736,27268,548864,60,3,Self-Employed,6,Poor,0
28,108782,558,175050,328606,36,1,Salaried,13,Good,1
46,38199,402,243966,391376,36,4,Self-Employed,12,Poor,0
25,20520,400,23259,759441,48,1,Salaried,4,Good,1
26,124814,497,446799,496015,48,0,Salaried,18,Average,0
46,138364,525,79400,640855,36,4,Salaried,9,Good,1
24,29955,762,296437,532517,24,1,Self-Employed,7,Good,1
39,79925,536,111581,756584,24,2,Salaried,17,Good,1
40,122216,325,7043,439569,60,4,Salaried,0,Good,0
53,85269,420,181502,892495,36,4,Unemployed,4,Good,1
40,56458,805,107009,163394,36,4,Business,10,Good,1
32,104037,481,301037,891672,36,4,Salaried,19,Poor,0
21,114977,842,433858,917784,36,2,Salaried,10,Good,1
46,58939,614,209137,198940,48,0,Self-Employed,15,Good,1
34,44345,572,161940,393133,12,2,Business,9,Average,1
58,125107,531,288453,72222,36,2,Salaried,14,Good,1
57,136866,719,285428,129794,12,1,Business,6,Good,1
31,84166,741,388945,638212,24,3,Self-Employed,14,Good,1
56,112406,795,113259,674142,60,3,Self-Employed,15,Good,1
33,64298,323,100804,914945,24,1,Unemployed,5,Poor,1
23,59942,408,69000,834326,36,2,Business,10,Good,1
53,18453,801,84179,891081,24,1,Business,16,Good,1
26,117811,324,455323,415130,48,4,Salaried,14,Good,1
30,69935,486,327193,818103,12,1,Self-Employed,15,Good,1
25,137439,587,291409,920181,36,1,Self-Employed,1,Good,1
43,23328,637,474706,283127,48,4,Salaried,3,Average,0
30,30534,336,260226,554434,12,3,Self-Employed,18,Average,0
22,100280,436,23880,191295,48,4,Salaried,5,Average,1
33,51320,807,346723,229238,24,0,Salaried,17,Good,1
60,64170,526,393471,89369,36,1,Salaried,20,Good,1
22,115546,619,394718,922811,24,1,Business,10,Poor,0
40,95201,481,201264,905824,60,3,Unemployed,8,Good,1
21,23640,385,327568,849093,36,2,Salaried,2,Poor,0
57,147992,766,469054,720951,24,4,Self-Employed,1,Average,1
29,58937,352,333110,383862,36,2,Salaried,17,Poor,1
37,85463,534,172438,760595,12,0,Unemployed,14,Good,1
29,108500,732,420641,320114,36,4,Self-Employed,17,Good,1
31,52158,795,445544,97922,36,0,Business,18,Average,1
35,99607,399,245352,543614,12,0,Business,14,Average,1
44,134639,702,67396,867187,24,0,Salaried,16,Good,1
58,86696,695,333838,695214,36,4,Self-Employed,17,Average,1
55,76510,826,399022,69416,48,4,Unemployed,17,Good,1
50,135076,714,479490,63672,36,3,Salaried,10,Good,1
51,73692,762,279250,526684,24,1,Self-Employed,17,Poor,1
25,145841,840,56731,178145,12,2,Unemployed,2,Good,1
34,30810,663,75010,752356,24,2,Salaried,12,Good,1
31,126718,429,475749,910527,60,0,Business,13,Good,1
29,105932,383,249091,50064,36,4,Unemployed,3,Good,1
54,15192,570,294743,118835,36,4,Business,17,Good,1
32,51413,543,71326,251457,12,0,Salaried,4,Good,1
55,54082,687,248876,973143,36,1,Salaried,13,Good,1
55,80048,513,337850,297795,48,2,Salaried,11,Average,1
21,138130,465,9004,454271,48,3,Business,6,Poor,0
60,65940,358,115018,399738,24,1,Business,11,Good,1
42,55142,803,444580,996931,12,4,Self-Employed,7,Good,1
49,51468,422,25792,691204,60,0,Salaried,20,Good,1
28,144048,712,488968,956740,24,2,Salaried,20,Average,1
31,57056,438,458128,918948,12,0,Business,2,Average,0
57,66831,528,54645,901098,12,4,Business,0,Poor,1
34,74191,573,7232,245346,24,0,Unemployed,2,Good,1
50,136948,738,471426,954726,24,2,Business,10,Average,1
55,123117,417,54766,323010,36,0,Business,17,Good,1
41,29671,782,120601,53889,60,2,Business,6,Poor,1
57,42048,694,81588,168194,48,0,Self-Employed,8,Good,1
25,40963,759,179614,174714,36,0,Salaried,3,Good,1
39,58954,377,5913,605623,12,2,Unemployed,9,Average,1
34,110430,711,112406,100547,60,0,Self-Employed,17,Average,1
46,15717,374,113693,207234,60,1,Salaried,15,Good,0
24,26676,594,93449,794809,24,3,Salaried,11,Good,0
45,133696,320,10567,730047,60,1,Salaried,18,Good,1
45,145830,470,38379,935188,60,3,Self-Employed,2,Good,1
38,19994,314,206040,323139,12,1,Salaried,7,Good,0
60,19234,510,262463,499704,36,3,Salaried,18,Poor,0
28,84300,385,90005,52631,60,0,Self-Employed,8,Good,1
59,58949,448,373134,187039,24,2,Salaried,18,Average,1
60,52405,671,223098,924726,36,2,Business,16,Average,1
34,49872,779,479336,399422,24,4,Salaried,12,Average,1
52,57215,450,4791,638759,60,3,Self-Employed,1,Poor,0
58,38185,440,490488,349260,36,4,Salaried,3,Average,1
53,56153,368,131401,928548,60,4,Salaried,10,Good,1
43,92535,559,205459,477443,12,3,Salaried,1,Good,0
35,148653,820,61032,707302,36,2,Business,3,Good,1
53,66717,670,175150,621952,24,3,Business,3,Good,1
45,17763,718,350806,733429,12,0,Salaried,19,Good,1
37,107910,400,21300,137342,48,4,Self-Employed,0,Average,0
53,70480,542,337844,64407,24,4,Salaried,10,Good,1
22,133094,811,444161,163926,60,3,Unemployed,1,Good,1
34,26064,394,55609,371345,24,4,Unemployed,18,Poor,0
60,91848,525,191634,916525,48,2,Self-Employed,7,Good,1
60,52548,817,90045,497564,24,4,Self-Employed,19,Good,1
59,21476,513,324045,787341,12,3,Business,3,Average,0
26,105101,366,267847,592166,24,2,Business,15,Average,0
26,17382,695,223717,133100,36,2,Self-Employed,14,Good,1
23,94698,311,325259,915061,48,4,Unemployed,4,Average,0
27,60095,536,219162,498636,24,3,Self-Employed,4,Good,1
28,144974,698,27676,544308,48,4,Self-Employed,14,Good,1
35,42197,706,454926,273059,12,0,Business,16,Good,1
49,142619,779,453293,617456,36,0,Self-Employed,2,Average,1
53,37010,521,383476,300396,60,2,Business,17,Good,1
50,102923,455,220412,824769,24,4,Salaried,10,Average,1
59,148962,727,176512,367006,12,0,Salaried,5,Good,1
47,145526,457,167995,78004,48,1,Salaried,11,Poor,1
56,124162,715,291946,856903,48,0,Self-Employed,16,Poor,1
49,135927,625,352475,574252,12,4,Salaried,13,Good,1
58,23026,670,456120,666108,24,4,Unemployed,5,Good,1
53,79925,643,453378,241239,60,0,Self-Employed,9,Average,1
57,83842,561,124786,676517,24,4,Business,15,Good,1
47,48665,582,327313,527044,36,4,Salaried,17,Good,1
53,24277,528,68147,901740,24,1,Business,19,Good,0
